#BOS,flight
ایا,O
خطوط,B-airline_name
هوایی,I-airline_name
دلتا,I-airline_name
پروازی,O
از,O
بوستون,B-fromloc.city_name
به,O
واشنگتن,B-toloc.city_name
دی‌سی,B-toloc.state_code
دارد,O
#EOS,0
#BOS,flight
چه,O
پروازهایی,O
از,O
میلواکی,B-fromloc.city_name
به,O
سن,B-toloc.city_name
خوزه,I-toloc.city_name
در,O
روز,O
چهارشنبه,B-depart_date.day_name
از,O
خطوط,B-airline_name
هوایی,I-airline_name
امریکن,I-airline_name
موجود,O
است,O
#EOS,1
#BOS,flight
پروازهای,O
نیوارک,B-fromloc.city_name
به,O
لس,B-toloc.city_name
انجلس,I-toloc.city_name
را,O
به,O
من,O
نشان,O
دهید,O
#EOS,2
#BOS,airfare
کرایه,O
پروازهای,O
قبل,B-depart_time.time_relative
از,I-depart_time.time_relative
ظهر,I-depart_time.time
پنجشنبه,B-depart_date.day_name
از,O
بوستون,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
که,O
غذا,B-meal
می‌دهند,O
چقدر,O
است,O
#EOS,3
#BOS,flight
لطفا,O
پروازهای,O
صبح,B-depart_time.period_of_day
از,O
کانزاس,B-fromloc.city_name
سیتی,I-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
را,O
لیست,O
کن,O
#EOS,4
#BOS,flight
زودترین,B-flight_mod
پرواز,O
با,O
صبحانه,B-meal_description
از,O
فیلادلفیا,B-fromloc.city_name
به,O
فورت,B-toloc.city_name
ورث,I-toloc.city_name
چیست,O
#EOS,5
#BOS,ground_service
به,O
من,O
اطلاعاتی,O
در,O
رابطه,O
با,O
حمل,O
و,O
نقل,O
زمینی,O
در,O
فرودگاه,B-airport_name
سنت,I-airport_name
پترزبورگ,I-airport_name
بده,O
#EOS,6
#BOS,flight
لطفا,O
ارزانترین,B-cost_relative
پرواز,O
از,O
دنور,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
را,O
به,O
من,O
